,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
0,2020-01-02,72.34424642805723,73.40899822681943,72.08783075784038,73.34794616699219,135480400,0.0,0.0,AAPL
1,2020-01-03,72.56646392219804,73.40409624551282,72.4077300853893,72.63484191894531,146322800,0.0,0.0,AAPL
2,2020-01-06,71.74593667895593,73.25269725728452,71.49195803761582,73.213623046875,118387200,0.0,0.0,AAPL
3,2020-01-07,73.22339065481263,73.48225076778633,72.64706284182013,72.86929321289062,108872000,0.0,0.0,AAPL
4,2020-01-08,72.5689134221357,74.34674891351213,72.5689134221357,74.04148864746094,132079200,0.0,0.0,AAPL
5,2020-01-09,75.03054309061211,75.80956803282913,74.77657186722294,75.61420440673828,170108400,0.0,0.0,AAPL
6,2020-01-10,75.85108198670477,76.35659483981806,75.27719112345856,75.78514099121094,140644800,0.0,0.0,AAPL
7,2020-01-13,76.1050387621226,77.43108735551188,75.9853716893184,77.40422058105469,121532000,0.0,0.0,AAPL
8,2020-01-14,77.34074585688923,77.55320581477248,76.23448292409026,76.35902404785156,161954400,0.0,0.0,AAPL
9,2020-01-15,76.1563402728486,77.0476988482344,75.5946568556174,76.03179168701172,121923600,0.0,0.0,AAPL
10,2020-01-16,76.58125743765756,77.09654067487565,76.21494509511487,76.98419952392578,108829200,0.0,0.0,AAPL
11,2020-01-17,77.23572924340525,77.83892383075151,76.92558749423719,77.83648681640625,137816400,0.0,0.0,AAPL
12,2020-01-21,77.4603983677737,77.90729608776587,77.16979001801344,77.30899047851562,110843200,0.0,0.0,AAPL
13,2020-01-22,77.79985027825272,78.14418475759082,77.48970852646919,77.58495330810547,101832400,0.0,0.0,AAPL
14,2020-01-23,77.6386754954533,78.03917307464211,77.08431810267746,77.95858764648438,104472000,0.0,0.0,AAPL
15,2020-01-24,78.20768177522166,78.95983980712082,77.54099065746487,77.73391723632812,146537600,0.0,0.0,AAPL
16,2020-01-27,75.71919527625542,76.13678921912874,74.45419856582704,75.44812774658203,161940000,0.0,0.0,AAPL
17,2020-01-28,76.3394929260297,77.75589765554778,76.23936665906834,77.58251190185547,162234000,0.0,0.0,AAPL
18,2020-01-29,79.2333563413358,80.06366276088562,78.48363535154242,79.20648956298828,216229200,0.0,0.0,AAPL
19,2020-01-30,78.27850287947913,79.14543905676159,77.8413680903649,79.09171295166016,126743200,0.0,0.0,AAPL
20,2020-01-31,78.37374610897449,78.80111051498456,75.28695793179644,75.58489227294922,199588400,0.0,0.0,AAPL
21,2020-02-03,74.31254492573652,76.55681865787766,73.80459519916084,75.3772964477539,173788400,0.0,0.0,AAPL
22,2020-02-04,77.001292147659,78.05871789857405,76.59102413257737,77.86579132080078,136616400,0.0,0.0,AAPL
23,2020-02-05,79.00623775473194,79.30906100422663,77.89021189425937,78.500732421875,118826800,0.0,0.0,AAPL
24,2020-02-06,78.7742698204552,79.42142029782242,78.21014926729305,79.41897583007812,105425600,0.0,0.0,AAPL
25,2020-02-07,78.91223426288705,79.16436537370217,77.84251287554201,78.33943176269531,117684000,0.1925,0.0,AAPL
26,2020-02-10,76.9074323691565,78.71151733398438,76.82665567878513,78.71151733398438,109348800,0.0,0.0,AAPL
27,2020-02-11,79.21334180408314,79.28677516358032,78.01632575195815,78.23663330078125,94323200,0.0,0.0,AAPL
28,2020-02-12,78.69192964600568,80.09945941160234,78.69192964600568,80.09456634521484,113730400,0.0,0.0,AAPL
29,2020-02-13,79.35776177810547,79.85468074020827,79.15214091140754,79.52421569824219,94747600,0.0,0.0,AAPL
30,2020-02-14,79.49238953623086,79.79593149475629,79.02974446859034,79.5438003540039,80113600,0.0,0.0,AAPL
31,2020-02-18,77.19628712602929,78.27090929443933,77.01269625200011,78.08731842041016,152531200,0.0,0.0,AAPL
32,2020-02-19,78.33209296535959,79.45077496090046,78.33209296535959,79.21822357177734,93984000,0.0,0.0,AAPL
33,2020-02-20,78.97588493475679,79.47035357530115,77.8939196290016,78.40552520751953,100566000,0.0,0.0,AAPL
34,2020-02-21,77.9942911278674,78.44225700528118,76.00661529825145,76.63082122802734,129554000,0.0,0.0,AAPL
35,2020-02-24,72.76561364784656,74.45954080369623,70.79996818740372,72.99081420898438,222195200,0.0,0.0,AAPL
36,2020-02-25,73.66889623195483,74.05565769438682,70.04113900503827,70.51847076416016,230673600,0.0,0.0,AAPL
37,2020-02-26,70.13904590093223,72.91738884045645,70.13170256596891,71.63714599609375,198054800,0.0,0.0,AAPL
38,2020-02-27,68.80984895581953,70.00930762739767,66.81727276835805,66.95435333251953,320605600,0.0,0.0,AAPL
39,2020-02-28,62.974106735375756,68.15136679341265,62.75624202520252,66.9151840209961,426510000,0.0,0.0,AAPL
40,2020-03-02,69.09869314929833,73.78882783653367,67.98246148773745,73.14503479003906,341397200,0.0,0.0,AAPL
41,2020-03-03,74.33471255723445,74.4154892421637,69.96034841124403,70.82200622558594,319475600,0.0,0.0,AAPL
42,2020-03-04,72.56489552296253,74.26861650737415,71.7546485082463,74.1070556640625,219178400,0.0,0.0,AAPL
43,2020-03-05,72.33967399231274,73.32616833693139,71.333599914422,71.70323181152344,187572800,0.0,0.0,AAPL
44,2020-03-06,69.0301642868418,71.18919462230977,68.84168035736367,70.75102233886719,226176800,0.0,0.0,AAPL
45,2020-03-09,64.56278447203744,68.07304074840916,64.37919361571885,65.1551742553711,286744800,0.0,0.0,AAPL
46,2020-03-10,67.84049238679988,70.11701586850124,65.9384864584112,69.84774780273438,285290000,0.0,0.0,AAPL
47,2020-03-11,67.90168732583784,68.83922125625614,66.5480037020959,67.4218978881836,255598800,0.0,0.0,AAPL
48,2020-03-12,62.650987373444806,66.09270309240821,60.70737172932311,60.763671875,418474000,0.0,0.0,AAPL
49,2020-03-13,64.8418492542271,68.52100989164049,61.91907834934266,68.04367065429688,370732000,0.0,0.0,AAPL
50,2020-03-16,59.226407103169855,63.41961955178385,58.749071643102724,59.29005432128906,322423600,0.0,0.0,AAPL
51,2020-03-17,60.587428871695266,63.059783485612655,58.357411796625065,61.89704513549805,324056000,0.0,0.0,AAPL
52,2020-03-18,58.69277111518728,61.19694923191077,58.04408121222981,60.381805419921875,300233600,0.0,0.0,AAPL
53,2020-03-19,60.55805525948442,61.892148056969916,59.38796984402263,59.919158935546875,271857200,0.0,0.0,AAPL
54,2020-03-20,60.50664407688728,61.644909540311914,55.81161606241113,56.11515426635742,401693200,0.0,0.0,AAPL
55,2020-03-23,55.83120288054039,55.93401331017731,52.04433524733572,54.923038482666016,336752800,0.0,0.0,AAPL
56,2020-03-24,57.858043620143214,60.631489797435,57.3537813579384,60.43321228027344,287531200,0.0,0.0,AAPL
57,2020-03-25,61.38053504763928,63.21644337408911,59.80165463392544,60.10029602050781,303602000,0.0,0.0,AAPL
58,2020-03-26,60.34508481095299,63.32170138884156,60.305917869557916,63.26295471191406,252087200,0.0,0.0,AAPL
